INFO:bdonline.replay.trainers_replay:No data files found to load for adaptation in data/online/2019-09-26
INFO:__main__:Starting server on port 7987
INFO:__main__:Started server
INFO:__main__:New connection from ('127.0.0.1', 51598)!
INFO:__main__:Connected to out Server
INFO:__main__:Numbers in total:  650
INFO:__main__:Before checking plot
INFO:__main__:After checking plot
INFO:__main__:Prediction for sample 599:
[0.60636085 0.39363918] with label0.0
INFO:__main__:Prediction for sample 724:
[0.67793447 0.32206553] with label0.0
INFO:__main__:Prediction for sample 849:
[0.6512214 0.3487786] with label0.0
INFO:__main__:Prediction for sample 974:
[0.6520987 0.3479013] with label0.0
INFO:__main__:Prediction for sample 1099:
[0.5856646  0.41433552] with label0.0
INFO:__main__:Prediction for sample 1224:
[0.57646626 0.42353368] with label0.0
INFO:__main__:Prediction for sample 1349:
[0.5240393 0.4759607] with label0.0
INFO:__main__:Prediction for sample 1474:
[0.49902233 0.5009777 ] with label0.0
INFO:__main__:Prediction for sample 1599:
[0.48015252 0.5198475 ] with label0.0
INFO:__main__:Prediction for sample 1724:
[0.5398505 0.4601496] with label0.0
INFO:__main__:Prediction for sample 1849:
[0.533511   0.46648905] with label0.0
INFO:__main__:Prediction for sample 1974:
[0.57815427 0.42184573] with label0.0
INFO:__main__:Prediction for sample 2099:
[0.61847395 0.3815261 ] with label0.0
INFO:__main__:Prediction for sample 2224:
[0.6408941  0.35910589] with label0.0
INFO:__main__:Prediction for sample 2349:
[0.5692353 0.4307647] with label0.0
INFO:__main__:Prediction for sample 2474:
[0.53450626 0.46549374] with label0.0
INFO:__main__:Prediction for sample 2599:
[0.56908    0.43092003] with label0.0
INFO:__main__:Prediction for sample 2724:
[0.63270736 0.36729258] with label0.0
INFO:__main__:Prediction for sample 2849:
[0.5766511  0.42334893] with label0.0
INFO:__main__:Prediction for sample 2974:
[0.6117771  0.38822287] with label0.0
INFO:__main__:Prediction for sample 3099:
[0.55344564 0.44655436] with label0.0
INFO:__main__:Prediction for sample 3224:
[0.5633202 0.4366797] with label0.0
INFO:__main__:Prediction for sample 3349:
[0.53750575 0.46249422] with label0.0
INFO:__main__:Prediction for sample 3474:
[0.58716506 0.41283494] with label0.0
INFO:__main__:Prediction for sample 3599:
[0.593161   0.40683895] with label0.0
INFO:__main__:Prediction for sample 3724:
[0.5852374  0.41476256] with label0.0
INFO:__main__:Prediction for sample 3849:
[0.5830741  0.41692588] with label0.0
INFO:__main__:Prediction for sample 3974:
[0.64895326 0.35104665] with label0.0
INFO:__main__:Prediction for sample 4099:
[0.6273474  0.37265253] with label0.0
INFO:__main__:Prediction for sample 4224:
[0.6233241 0.3766759] with label0.0
INFO:__main__:Prediction for sample 4349:
[0.55951416 0.4404859 ] with label0.0
INFO:__main__:Prediction for sample 4474:
[0.5747698 0.4252302] with label0.0
INFO:__main__:Prediction for sample 4599:
[0.5556177  0.44438228] with label0.0
INFO:__main__:Prediction for sample 4724:
[0.6259304  0.37406966] with label0.0
INFO:__main__:Prediction for sample 4849:
[0.56116927 0.4388308 ] with label0.0
INFO:__main__:Prediction for sample 4974:
[0.5552928 0.4447072] with label0.0
INFO:__main__:Prediction for sample 5099:
[0.55841655 0.44158345] with label0.0
INFO:__main__:Prediction for sample 5224:
[0.56741095 0.43258908] with label0.0
INFO:__main__:Prediction for sample 5349:
[0.54032195 0.45967808] with label0.0
INFO:__main__:Prediction for sample 5474:
[0.58820355 0.41179633] with label0.0
INFO:__main__:Prediction for sample 5599:
[0.63082975 0.3691702 ] with label0.0
INFO:__main__:Prediction for sample 5724:
[0.55880374 0.44119614] with label0.0
INFO:__main__:Prediction for sample 5849:
[0.5140625  0.48593745] with label0.0
INFO:__main__:Prediction for sample 5974:
[0.53671    0.46328995] with label0.0
INFO:__main__:Prediction for sample 6099:
[0.5632056  0.43679446] with label0.0
INFO:__main__:Prediction for sample 6224:
[0.57025266 0.42974737] with label0.0
INFO:__main__:Prediction for sample 6349:
[0.58799684 0.4120032 ] with label0.0
INFO:__main__:Prediction for sample 6474:
[0.61366606 0.38633394] with label0.0
INFO:__main__:Prediction for sample 6599:
[0.5418628  0.45813733] with label0.0
INFO:__main__:Prediction for sample 6724:
[0.6034554  0.39654464] with label0.0
INFO:__main__:Prediction for sample 6849:
[0.62847686 0.37152323] with label0.0
INFO:__main__:Prediction for sample 6974:
[0.5433613  0.45663866] with label0.0
INFO:__main__:Prediction for sample 7099:
[0.52378786 0.4762121 ] with label0.0
INFO:__main__:Prediction for sample 7224:
[0.49734592 0.5026541 ] with label0.0
INFO:__main__:Prediction for sample 7349:
[0.5115299  0.48847005] with label0.0
INFO:__main__:Prediction for sample 7474:
[0.53038335 0.4696167 ] with label0.0
INFO:__main__:Prediction for sample 7599:
[0.55772096 0.44227904] with label0.0
INFO:__main__:Prediction for sample 7724:
[0.61147356 0.3885265 ] with label0.0
INFO:__main__:Prediction for sample 7849:
[0.5959895  0.40401047] with label0.0
INFO:__main__:Prediction for sample 7974:
[0.5622677  0.43773222] with label0.0
INFO:__main__:Prediction for sample 8099:
[0.6698857  0.33011433] with label0.0
INFO:__main__:Prediction for sample 8224:
[0.60313046 0.3968696 ] with label0.0
INFO:__main__:Prediction for sample 8349:
[0.5851432  0.41485673] with label0.0
INFO:__main__:Prediction for sample 8474:
[0.6409028 0.3590972] with label0.0
INFO:__main__:Prediction for sample 8599:
[0.5897379 0.4102621] with label0.0
INFO:__main__:Prediction for sample 8724:
[0.5104852  0.48951486] with label0.0
INFO:__main__:Prediction for sample 8849:
[0.5194714  0.48052862] with label0.0
INFO:__main__:Prediction for sample 8974:
[0.54063773 0.45936227] with label0.0
INFO:__main__:Prediction for sample 9099:
[0.5760528 0.4239473] with label0.0
INFO:__main__:Prediction for sample 9224:
[0.57444245 0.42555752] with label0.0
INFO:__main__:Prediction for sample 9349:
[0.5427025 0.4572975] with label0.0
INFO:__main__:Prediction for sample 9474:
[0.54387254 0.4561274 ] with label0.0
INFO:__main__:Prediction for sample 9599:
[0.57908493 0.4209151 ] with label0.0
INFO:__main__:Prediction for sample 9724:
[0.61021733 0.38978273] with label0.0
INFO:__main__:Prediction for sample 9849:
[0.6093487  0.39065132] with label0.0
INFO:__main__:Prediction for sample 9974:
[0.5921763  0.40782368] with label0.0
INFO:__main__:Prediction for sample 10099:
[0.58269626 0.41730377] with label0.0
INFO:__main__:Prediction for sample 10224:
[0.5739186 0.4260814] with label0.0
INFO:__main__:Prediction for sample 10349:
[0.5763983  0.42360166] with label0.0
INFO:__main__:Prediction for sample 10474:
[0.60485965 0.39514038] with label0.0
INFO:__main__:Prediction for sample 10599:
[0.5960442  0.40395582] with label0.0
INFO:__main__:Prediction for sample 10724:
[0.5485467  0.45145333] with label0.0
INFO:__main__:Prediction for sample 10849:
[0.50730425 0.4926958 ] with label0.0
INFO:__main__:Prediction for sample 10974:
[0.556956   0.44304407] with label0.0
INFO:__main__:Prediction for sample 11099:
[0.59321326 0.4067867 ] with label0.0
INFO:__main__:Prediction for sample 11224:
[0.54671496 0.45328504] with label0.0
INFO:__main__:Prediction for sample 11349:
[0.5750965  0.42490357] with label0.0
INFO:__main__:Prediction for sample 11474:
[0.54775935 0.45224062] with label0.0
INFO:__main__:Prediction for sample 11599:
[0.55711824 0.44288182] with label0.0
INFO:__main__:Prediction for sample 11724:
[0.5552641  0.44473594] with label0.0
INFO:__main__:Prediction for sample 11849:
[0.5368811  0.46311894] with label0.0
INFO:__main__:Prediction for sample 11974:
[0.5866874 0.4133125] with label0.0
INFO:__main__:Prediction for sample 12099:
[0.604105   0.39589506] with label0.0
INFO:__main__:Prediction for sample 12224:
[0.5787249  0.42127514] with label0.0
INFO:__main__:Prediction for sample 12349:
[0.64303714 0.35696286] with label0.0
INFO:__main__:Prediction for sample 12474:
[0.57444835 0.42555165] with label0.0
INFO:__main__:Prediction for sample 12599:
[0.6272781  0.37272188] with label0.0
INFO:__main__:Prediction for sample 12724:
[0.6013672  0.39863288] with label0.0
INFO:__main__:Prediction for sample 12849:
[0.5777563  0.42224368] with label0.0
INFO:__main__:Prediction for sample 12974:
[0.54703367 0.45296636] with label0.0
INFO:__main__:Prediction for sample 13099:
[0.5520326  0.44796744] with label0.0
INFO:__main__:Prediction for sample 13224:
[0.5068356 0.4931644] with label0.0
INFO:__main__:Prediction for sample 13349:
[0.59796387 0.40203607] with label0.0
INFO:__main__:Prediction for sample 13474:
[0.53784746 0.46215254] with label0.0
INFO:__main__:Prediction for sample 13599:
[0.5466243 0.4533757] with label0.0
INFO:__main__:Prediction for sample 13724:
[0.6007004 0.3992996] with label0.0
INFO:__main__:Prediction for sample 13849:
[0.5970921  0.40290788] with label0.0
INFO:__main__:Prediction for sample 13974:
[0.56509584 0.43490422] with label0.0
INFO:__main__:Prediction for sample 14099:
[0.5571723  0.44282767] with label0.0
INFO:__main__:Prediction for sample 14224:
[0.60439825 0.3956017 ] with label0.0
INFO:__main__:Prediction for sample 14349:
[0.50997007 0.49002993] with label0.0
INFO:__main__:Prediction for sample 14474:
[0.5253891 0.474611 ] with label0.0
INFO:__main__:Prediction for sample 14599:
[0.56889975 0.43110028] with label0.0
INFO:__main__:Prediction for sample 14724:
[0.56755304 0.43244693] with label2.0
INFO:bdonline.replay.trainers_replay:Trial has ended for class 2, from 19896 to 19996
INFO:bdonline.replay.trainers_replay:Now 1 trials (including breaks)
INFO:bdonline.replay.trainers_replay:Not training model yet, only have 1 of 4 trials 
INFO:bdonline.replay.trainers_replay:Time for training: 0.00s
INFO:__main__:Prediction for sample 14849:
[0.5206097 0.4793904] with label2.0
INFO:__main__:Prediction for sample 14974:
[0.54534185 0.45465812] with label2.0
INFO:__main__:Prediction for sample 15099:
[0.57100004 0.429     ] with label2.0
INFO:__main__:Prediction for sample 15224:
[0.5939771 0.4060229] with label2.0
INFO:__main__:Prediction for sample 15349:
[0.49407646 0.50592357] with label2.0
INFO:__main__:Prediction for sample 15474:
[0.5106243  0.48937568] with label0.0
INFO:__main__:Prediction for sample 15599:
[0.5499555 0.4500445] with label0.0
INFO:__main__:Prediction for sample 15724:
[0.5268138  0.47318625] with label0.0
INFO:__main__:Prediction for sample 15849:
[0.53429466 0.46570534] with label0.0
INFO:__main__:Prediction for sample 15974:
[0.57834756 0.42165244] with label0.0
INFO:__main__:Prediction for sample 16099:
[0.5816506  0.41834936] with label0.0
INFO:__main__:Prediction for sample 16224:
[0.5734189  0.42658108] with label0.0
INFO:__main__:Prediction for sample 16349:
[0.63551646 0.36448357] with label0.0
INFO:__main__:Prediction for sample 16474:
[0.602854   0.39714605] with label0.0
INFO:__main__:Prediction for sample 16599:
[0.5830635  0.41693652] with label0.0
INFO:__main__:Prediction for sample 16724:
[0.5608443  0.43915567] with label0.0
INFO:__main__:Prediction for sample 16849:
[0.5464723  0.45352772] with label0.0
INFO:__main__:Prediction for sample 16974:
[0.5961155  0.40388444] with label0.0
INFO:__main__:Prediction for sample 17099:
[0.568789   0.43121105] with label0.0
INFO:__main__:Prediction for sample 17224:
[0.5772462  0.42275387] with label0.0
INFO:__main__:Prediction for sample 17349:
[0.49087018 0.5091298 ] with label0.0
INFO:__main__:Prediction for sample 17474:
[0.57683337 0.42316663] with label0.0
INFO:__main__:Prediction for sample 17599:
[0.594649   0.40535095] with label0.0
INFO:__main__:Prediction for sample 17724:
[0.56150794 0.438492  ] with label0.0
INFO:__main__:Prediction for sample 17849:
[0.5209119  0.47908813] with label0.0
INFO:__main__:Prediction for sample 17974:
[0.5254978  0.47450218] with label0.0
INFO:__main__:Prediction for sample 18099:
[0.56046396 0.4395361 ] with label0.0
INFO:__main__:Prediction for sample 18224:
[0.514246   0.48575398] with label0.0
INFO:__main__:Prediction for sample 18349:
[0.5089318 0.4910682] with label0.0
INFO:__main__:Prediction for sample 18474:
[0.5460098  0.45399022] with label0.0
INFO:__main__:Prediction for sample 18599:
[0.5562444  0.44375572] with label0.0
INFO:__main__:Prediction for sample 18724:
[0.5539379  0.44606206] with label0.0
INFO:__main__:Prediction for sample 18849:
[0.5877118 0.4122882] with label0.0
INFO:__main__:Prediction for sample 18974:
[0.5956408 0.4043591] with label2.0
INFO:__main__:Prediction for sample 19099:
[0.58686763 0.4131324 ] with label2.0
INFO:__main__:Prediction for sample 19224:
[0.59142244 0.40857753] with label2.0
INFO:__main__:Prediction for sample 19349:
[0.53967863 0.46032137] with label2.0
INFO:bdonline.replay.trainers_replay:Trial has ended for class 2, from 19510 to 19993
INFO:bdonline.replay.trainers_replay:Now 2 trials (including breaks)
INFO:bdonline.replay.trainers_replay:Not training model yet, only have 2 of 4 trials 
INFO:bdonline.replay.trainers_replay:Time for training: 0.00s
INFO:__main__:Prediction for sample 19474:
[0.53801006 0.46198997] with label2.0
INFO:__main__:Prediction for sample 19599:
[0.5680719 0.4319282] with label2.0
INFO:__main__:Prediction for sample 19724:
[0.5915752  0.40842476] with label2.0
INFO:__main__:Prediction for sample 19849:
[0.5306243  0.46937576] with label2.0
INFO:__main__:Prediction for sample 19974:
[0.5561694 0.4438306] with label2.0
INFO:__main__:Prediction for sample 20099:
[0.6008861  0.39911392] with label0.0
INFO:__main__:Prediction for sample 20224:
[0.56883484 0.4311652 ] with label0.0
INFO:__main__:Prediction for sample 20349:
[0.6120635  0.38793644] with label0.0
INFO:__main__:Prediction for sample 20474:
[0.6140843 0.3859157] with label0.0
INFO:__main__:Prediction for sample 20599:
[0.6253267 0.3746734] with label0.0
INFO:__main__:Prediction for sample 20724:
[0.58311707 0.41688296] with label2.0
INFO:__main__:Prediction for sample 20849:
[0.57998025 0.42001975] with label2.0
INFO:__main__:Prediction for sample 20974:
[0.5473095  0.45269057] with label2.0
INFO:__main__:Prediction for sample 21099:
[0.5394765 0.4605235] with label2.0
INFO:__main__:Prediction for sample 21224:
[0.6095755 0.3904245] with label2.0
INFO:bdonline.replay.trainers_replay:Trial has ended for class 2, from 19359 to 19992
INFO:bdonline.replay.trainers_replay:Now 3 trials (including breaks)
INFO:bdonline.replay.trainers_replay:Not training model yet, only have 3 of 4 trials 
INFO:bdonline.replay.trainers_replay:Time for training: 0.00s
INFO:__main__:Prediction for sample 21349:
[0.5873536 0.4126464] with label2.0
INFO:__main__:Prediction for sample 21474:
[0.5539771  0.44602287] with label2.0
INFO:__main__:Prediction for sample 21599:
[0.5783673 0.4216327] with label2.0
INFO:__main__:Prediction for sample 21724:
[0.54626304 0.45373693] with label2.0
INFO:__main__:Prediction for sample 21849:
[0.5082571  0.49174297] with label0.0
INFO:__main__:Prediction for sample 21974:
[0.5478505 0.4521495] with label0.0
INFO:__main__:Prediction for sample 22099:
[0.59214777 0.40785226] with label0.0
INFO:__main__:Prediction for sample 22224:
[0.60905635 0.3909437 ] with label0.0
INFO:__main__:Prediction for sample 22349:
[0.55049235 0.44950774] with label0.0
INFO:__main__:Prediction for sample 22474:
[0.5795414  0.42045859] with label0.0
INFO:__main__:Prediction for sample 22599:
[0.6222511  0.37774882] with label0.0
INFO:__main__:Prediction for sample 22724:
[0.619467   0.38053298] with label0.0
INFO:__main__:Prediction for sample 22849:
[0.6340249 0.365975 ] with label0.0
INFO:__main__:Prediction for sample 22974:
[0.662942 0.337058] with label0.0
INFO:__main__:Prediction for sample 23099:
[0.643037   0.35696298] with label0.0
INFO:__main__:Prediction for sample 23224:
[0.5882409  0.41175905] with label1.0
INFO:__main__:Prediction for sample 23349:
[0.5653472  0.43465278] with label1.0
INFO:__main__:Prediction for sample 23474:
[0.56576467 0.43423533] with label1.0
INFO:__main__:Prediction for sample 23599:
[0.49842188 0.50157815] with label1.0
INFO:bdonline.replay.trainers_replay:Trial has ended for class 1, from 19550 to 19994
INFO:bdonline.replay.trainers_replay:Now 4 trials (including breaks)
INFO:bdonline.replay.trainers_replay:Training model...
INFO:bdonline.replay.trainers_replay:[23 21 19 13  5 14 20  7  3 15 11 18 23 23 20 22 16 20 23 18 16  8  9 10
 22  7 18 22 12  2 18 20  1 18 19  8 14 23 23 20 21 10  0 23  5]
INFO:bdonline.replay.trainers_replay:[ 9 19 21 20 19  2 18 22  4 10  4  7 23  7 22  6 14 15 21 20 10  1 14  9
 21 12  0  7  7 21  3 23  5  0 19  0 16 19 23 13 19  8 21 11 21]
INFO:bdonline.replay.trainers_replay:[20 16  3 20 10 16 22  3  8 17 11 21 21 20 17 21 19 21 19 20 19  9  0 13
 14 19 14 23  1 18 17  8 18 18 14 18 16 20  0 20 23  0  0  9 13]
INFO:bdonline.replay.trainers_replay:[23 21 15 12 20 18 19 21 23 20  0 21 20  1 10 12 20  5 23 22  1 14  8 21
 16 22 20 20 21 23 11  6 10  1 20 22  4  5 22  1 15 22 19 15  5]
INFO:bdonline.replay.trainers_replay:[18 21 18 10 12 23 21 23 21  0 18  2  7  7 23 10  7  5  0 22  7  3 22 23
  1 22 17 21 17 11 16 14 23 15 11  6  8  3 18 15 20 20 14 19  7]
INFO:bdonline.replay.trainers_replay:Time for training: 0.35s
INFO:__main__:Prediction for sample 23724:
[0.5820482 0.4179518] with label1.0
INFO:__main__:Prediction for sample 23849:
[0.58870065 0.4112994 ] with label1.0
INFO:__main__:Prediction for sample 23974:
[0.5857464  0.41425356] with label1.0
INFO:__main__:Prediction for sample 24099:
[0.63892394 0.3610761 ] with label1.0
INFO:__main__:Prediction for sample 24224:
[0.63093835 0.36906168] with label0.0
INFO:__main__:Prediction for sample 24349:
[0.5767692 0.4232308] with label0.0
INFO:__main__:Prediction for sample 24474:
[0.57761496 0.42238507] with label0.0
INFO:__main__:Prediction for sample 24599:
[0.57170725 0.42829278] with label0.0
INFO:__main__:Prediction for sample 24724:
[0.6136937  0.38630632] with label0.0
INFO:__main__:Prediction for sample 24849:
[0.56315607 0.43684396] with label0.0
INFO:__main__:Prediction for sample 24974:
[0.6180986  0.38190147] with label0.0
INFO:__main__:Prediction for sample 25099:
[0.61410666 0.38589334] with label0.0
INFO:__main__:Prediction for sample 25224:
[0.61018646 0.3898135 ] with label0.0
INFO:__main__:Prediction for sample 25349:
[0.55547196 0.444528  ] with label0.0
INFO:__main__:Prediction for sample 25474:
[0.60404426 0.39595562] with label0.0
INFO:__main__:Prediction for sample 25599:
[0.6131424 0.3868577] with label0.0
INFO:__main__:Prediction for sample 25724:
[0.59047145 0.40952855] with label0.0
INFO:__main__:Prediction for sample 25849:
[0.6031041  0.39689592] with label0.0
INFO:__main__:Prediction for sample 25974:
[0.6276285  0.37237146] with label0.0
INFO:__main__:Prediction for sample 26099:
[0.5884628  0.41153723] with label0.0
INFO:__main__:Prediction for sample 26224:
[0.6246527  0.37534726] with label0.0
INFO:__main__:Prediction for sample 26349:
[0.56930345 0.43069655] with label0.0
INFO:__main__:Prediction for sample 26474:
[0.5974239 0.402576 ] with label0.0
INFO:__main__:Prediction for sample 26599:
[0.6050624  0.39493752] with label1.0
INFO:__main__:Prediction for sample 26724:
[0.60061485 0.39938506] with label1.0
INFO:__main__:Prediction for sample 26849:
[0.5652465  0.43475342] with label1.0
INFO:bdonline.replay.trainers_replay:Trial has ended for class 1, from 19555 to 19996
INFO:bdonline.replay.trainers_replay:Now 5 trials (including breaks)
INFO:bdonline.replay.trainers_replay:Training model...
INFO:bdonline.replay.trainers_replay:[ 2 28  9 25  6 21 11 21  4 17 23 24 24 10 25  6 13 19 26 12  9 27 19 22
 27 23 29  6 27 19  5 26 16 16 19 13  6  7 14 29 21  3 19  7 24]
INFO:bdonline.replay.trainers_replay:[ 8 24  8 18 11 26  1  1  3  7 12 18 21 20 26 28  3  1 29 27 28 10  3  7
  4  6 24 29  1 26  9 24 22  4 29 17 24 24 26 20 17 23 28 25 20]
INFO:bdonline.replay.trainers_replay:[21  6 12 24 12  4 20 16  5  7  5 10 15 18 20  1  6 22 25 11 21 14 19 21
 10 25 18 22 16 20  5 15  9 14  3  3 20  3  2 27 27  5 10  9  1]
INFO:bdonline.replay.trainers_replay:[22 17  9  7 18 17 15 24  1 22 25 26 19  9 25  6 15 26 23 11 21 24 21  5
  9 22 24 14 21  8 22 19 27 11  0 26 29 23 27 13 24 14  4 18 18]
INFO:bdonline.replay.trainers_replay:[ 6 22  9 13 22 21 13 29 28  9  7  3 16  7 12  5 29 26  4 20  5 16 15 14
 15  4 25 13 21  1 29 29 25 28 12  8  4 27 27 21  6  5  9 22 23]
INFO:bdonline.replay.trainers_replay:Time for training: 0.32s
INFO:__main__:Prediction for sample 26974:
[0.57673025 0.42326972] with label1.0
INFO:__main__:Prediction for sample 27099:
[0.5104313  0.48956874] with label1.0
INFO:__main__:Prediction for sample 27224:
[0.5611768  0.43882325] with label1.0
INFO:__main__:Prediction for sample 27349:
[0.52518255 0.47481745] with label1.0
INFO:__main__:Prediction for sample 27474:
[0.58161235 0.41838765] with label1.0
INFO:__main__:Prediction for sample 27599:
[0.5459352  0.45406482] with label0.0
INFO:__main__:Prediction for sample 27724:
[0.58267206 0.41732803] with label0.0
INFO:__main__:Prediction for sample 27849:
[0.527527   0.47247308] with label0.0
INFO:__main__:Prediction for sample 27974:
[0.51915395 0.48084608] with label0.0
INFO:__main__:Prediction for sample 28099:
[0.563578 0.436422] with label0.0
INFO:__main__:Prediction for sample 28224:
[0.55110306 0.44889697] with label0.0
INFO:__main__:Prediction for sample 28349:
[0.55934536 0.44065467] with label0.0
INFO:__main__:Prediction for sample 28474:
[0.48965463 0.51034534] with label0.0
